,State,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a high school diploma only, 2010-2014","Percent of adults completing some college or associate's degree, 2010-2014","Percent of adults with a bachelor's degree or higher, 2010-2014",Economic_typology_2015,POP_ESTIMATE_2014,R_birth_2014,R_death_2014,R_INTERNATIONAL_MIG_2014,R_DOMESTIC_MIG_2014,Civilian_labor_force_2014,Unemployment_rate_2014,Median_Household_Income_2014,PCTPOVALL_2014
2523,TX,8.0,7.0,0.175,0.053,0.226,0.271,0.129,0.11199999999999999,0.293,0.24600000000000002,0.17300000000000001,0.32899999999999996,0.29600000000000004,0.214,0.2960526315789473,0.29385964912280704,0.33114035087719285,1.0,654,0.015479876160999998,0.0061919504644,0.0,0.012383900929000002,423.0,0.031,61750.0,0.10300000000000001
2677,TX,7.0,8.0,0.355,0.107,0.079,0.35700000000000004,0.129,0.111,0.3,0.212,0.10800000000000001,0.285,0.226,0.11,0.2784438084925361,0.2509088096527188,0.1298630984608245,3.0,22293,0.019153994527000003,0.0053379984749,0.012784282062000002,-0.02736284932,11297.0,0.035,42839.0,0.146
2337,SC,4.0,5.0,0.17300000000000001,0.044000000000000004,0.043,0.278,0.09,0.09300000000000001,0.313,0.188,0.133,0.332,0.225,0.182,0.33329563447183896,0.27716202970670284,0.22108497323380838,3.0,75232,0.0098678953817,0.011226229159000001,0.000652532893,0.0048607042028,34091.0,0.063,39548.0,0.175
1284,MI,9.0,12.0,0.324,0.067,0.053,0.39899999999999997,0.11599999999999999,0.077,0.39899999999999997,0.188,0.079,0.405,0.252,0.08,0.41695776436964116,0.31248015242934263,0.09812638932994598,4.0,8350,0.008489776396,0.014827215114000002,0.0002391486309,0.0033480808322000006,2991.0,0.11800000000000001,33975.0,0.205
2574,TX,3.0,2.0,0.311,0.129,0.084,0.315,0.17600000000000002,0.12,0.282,0.273,0.114,0.268,0.292,0.12,0.28512276876326564,0.30581426367737974,0.14334427446386527,2.0,154399,0.019831286074,0.0076431026261000005,0.000980053607,0.017483103942,82374.0,0.034,55555.0,0.128
1273,MI,9.0,8.0,0.302,0.045,0.042,0.405,0.12,0.071,0.424,0.18899999999999997,0.08,0.426,0.258,0.102,0.4353867081228138,0.29984453944811507,0.13340458608628064,0.0,14988,0.010442995876,0.01084209126,0.0006651589729999999,-0.0056538512699999995,7099.0,0.078,40455.0,0.161
1239,MI,2.0,2.0,0.40700000000000003,0.115,0.098,0.444,0.179,0.158,0.325,0.345,0.185,0.304,0.374,0.217,0.2991099123398516,0.390694538098449,0.24183412002697235,0.0,108706,0.010534659306,0.0087742744173,0.0021198352058999998,0.0001474667969,56015.0,0.057,57088.0,0.098
1384,MN,4.0,5.0,0.312,0.113,0.102,0.34299999999999997,0.155,0.16399999999999998,0.342,0.239,0.19699999999999998,0.302,0.306,0.23199999999999998,0.3006588721658808,0.3280472837671985,0.27517602222078685,3.0,51107,0.0094682180228,0.0078674059035,0.0018155552085,-0.00814071529,29443.0,0.037000000000000005,49365.0,0.158
861,IA,9.0,10.0,0.387,0.087,0.053,0.465,0.109,0.071,0.47,0.193,0.087,0.466,0.247,0.12,0.41775574583145564,0.3382154123479044,0.1534474988733664,1.0,6150,0.012309685779,0.011013929381,0.0009718172983,-0.009718172982999998,3241.0,0.036000000000000004,46501.0,0.131
53,AL,3.0,2.0,0.222,0.048,0.046,0.299,0.07,0.07,0.344,0.151,0.066,0.37799999999999995,0.221,0.098,0.42552720837634567,0.2643415425453473,0.09622474561274147,0.0,20339,0.011585734435000002,0.012089462019000002,0.0,0.04745113842399999,7761.0,0.08199999999999999,31933.0,0.25
2938,WA,5.0,8.0,0.35,0.12300000000000001,0.08800000000000001,0.39899999999999997,0.19699999999999998,0.138,0.31,0.326,0.161,0.278,0.37,0.20800000000000002,0.2747191636080525,0.3961554146739331,0.24463352241130015,0.0,72668,0.0091931810339,0.013237628546,0.0007591966319,0.0082821450756,26711.0,0.084,47185.0,0.162
1292,MI,6.0,4.0,0.355,0.07,0.040999999999999995,0.429,0.10300000000000001,0.076,0.44,0.19699999999999998,0.084,0.439,0.258,0.1,0.4657977130411108,0.29774707323713584,0.11601551864960526,0.0,41652,0.010532615199999998,0.011298623579000001,0.00011968880910000001,-0.0046199880310000005,19727.0,0.085,42081.0,0.147
2943,WA,9.0,12.0,0.353,0.09,0.065,0.408,0.16,0.152,0.34600000000000003,0.26,0.12,0.344,0.34700000000000003,0.135,0.32483847810480965,0.39321608040201006,0.15667623833452976,4.0,7651,0.0098096919757,0.010594467334,0.0007847753581,0.0015695507161000001,2448.0,0.113,39992.0,0.22399999999999998
2613,TX,4.0,3.0,0.204,0.102,0.055999999999999994,0.281,0.141,0.084,0.308,0.237,0.10300000000000001,0.32299999999999995,0.29100000000000004,0.121,0.34481060675140873,0.3163423485857057,0.15476081921470644,0.0,79259,0.011096051782,0.012476724891,0.00043066867649999994,0.0091453760118,34734.0,0.055999999999999994,40921.0,0.20199999999999999
2317,SC,6.0,6.0,0.174,0.057999999999999996,0.063,0.221,0.09300000000000001,0.079,0.304,0.135,0.085,0.336,0.179,0.092,0.38943603312264186,0.24396099759909845,0.08319858885785683,3.0,31279,0.013277372612,0.011426200469000001,0.0018192553819999999,-0.007308938288999999,12563.0,0.096,30516.0,0.298
2668,TX,5.0,8.0,0.121,0.052000000000000005,0.068,0.142,0.096,0.084,0.158,0.125,0.073,0.188,0.142,0.091,0.22307202039515608,0.23084767367750156,0.121414913957935,4.0,57188,0.019221308595,0.0069049125026,0.0032855436081,-0.0062724014339999995,23395.0,0.11,32248.0,0.265
997,KY,1.0,1.0,0.284,0.06,0.057,0.359,0.1,0.098,0.341,0.21899999999999997,0.149,0.348,0.255,0.205,0.3164815271949313,0.29513700320908426,0.2806549823088949,4.0,91737,0.011708052976,0.0088548299818,0.0014539412191999998,0.0015304644412999998,47876.0,0.052000000000000005,52349.0,0.132
3089,WI,6.0,6.0,0.303,0.067,0.051,0.39899999999999997,0.105,0.095,0.42,0.196,0.10099999999999999,0.409,0.268,0.133,0.39052458526378714,0.3022966173466846,0.1808897524037264,3.0,29515,0.013504366073,0.008393691193400001,0.0011507479862,-0.008089081432,16550.0,0.046,50266.0,0.122
1534,MO,6.0,6.0,0.252,0.073,0.042,0.366,0.099,0.073,0.396,0.159,0.075,0.402,0.223,0.114,0.41285639014109243,0.2760377027106141,0.15362098237808092,0.0,25077,0.012176620887999999,0.010539763653999999,3.99233472e-05,0.0009980836793,11664.0,0.077,37360.0,0.174
1253,MI,4.0,5.0,0.308,0.106,0.127,0.363,0.139,0.20600000000000002,0.342,0.24,0.215,0.33899999999999997,0.28300000000000003,0.239,0.32498212419558875,0.31829932346955614,0.2613167592541664,4.0,70820,0.0093943209632,0.006380781256599999,0.0030984281489999997,-0.001867545734,35657.0,0.059000000000000004,42431.0,0.28300000000000003
621,IL,7.0,8.0,0.282,0.069,0.059000000000000004,0.33799999999999997,0.11900000000000001,0.107,0.348,0.23800000000000002,0.113,0.32899999999999996,0.304,0.13699999999999998,0.33777316068712204,0.36400400697510477,0.15916595555225765,0.0,38446,0.011750210752000001,0.011646456130999999,0.000959730238,-0.00627715453,17657.0,0.07400000000000001,43073.0,0.195
